,max,average,median
crowd,492,191.92719860221317,93.0
crown,415,156.26732673267327,73.0
crude,317,107.06057076295865,59.0
cruel,239,80.01339545719277,64.0
crumb,522,217.48806057076297,90.0
crump,501,203.54513686662784,94.0
crush,400,145.8153756552126,87.0
crust,328,107.56493884682585,48.0
crypt,361,136.8019801980198,92.0
cubic,824,391.61036691904485,306.0
cumin,493,188.7146185206756,70.0
curio,279,108.59813628421665,73.0
curly,296,130.35934769947582,76.0
curry,869,353.6022131624927,210.0
curse,238,82.35002912055911,41.0
curve,358,133.62783925451367,112.0
curvy,464,207.00698893418755,160.0
cutie,237,88.52591729761211,54.0
cyber,286,123.2527664531159,100.0
cycle,499,210.6272568433314,167.0
cynic,743,322.3179965055329,199.0
daddy,842,461.302271403611,396.0
daily,337,118.43739079790332,85.0
dairy,249,99.73150844496215,82.0
daisy,277,102.87070471753057,75.0
dally,703,301.95340710541643,149.0
dance,247,82.6156086196855,50.0
dandy,622,275.8334304018637,169.0
datum,365,144.713453698311,102.0
daunt,291,103.70122306348281,64.0
dealt,195,68.4944670937682,46.0
death,226,90.14036109493303,65.0
debar,270,103.55678509027373,66.0
debit,315,124.64006988934187,70.0
debug,444,206.01688992428655,122.0
debut,348,143.42981945253348,85.0
decal,247,94.38264414676762,66.0
decay,233,112.68083867210251,103.0
decor,288,100.98485730926033,64.0
decoy,290,130.36750145602795,105.0
decry,284,121.32847990681421,122.0
defer,847,342.7716948165405,277.0
deign,364,145.27955736750147,75.0
deity,256,110.63308095515434,80.0
delay,248,103.99475829935935,72.0
delta,195,78.56901572510192,64.0
delve,943,396.19219569015723,167.0
demon,302,130.92079207920793,92.0
demur,344,132.73325567850904,86.0
denim,320,135.8677926616191,88.0
dense,712,241.65230052417007,127.0
depot,280,108.24403028538148,66.0
depth,350,143.96097845078626,79.0
derby,354,149.93418753640069,132.0
deter,634,225.78858474082702,105.0
detox,351,156.77751892836343,122.0
deuce,906,328.843913803145,156.0
devil,373,150.55620267909143,114.0
diary,249,99.87128712871286,81.0
dicey,270,122.7810133954572,119.0
digit,853,384.5806639487478,144.0
dilly,857,374.60920209668024,218.0
dimly,510,205.35876528829354,105.0
diner,248,91.67909143855562,65.0
dingo,493,198.84391380314503,92.0
dingy,586,243.10017472335468,127.0
diode,348,168.73034362259756,163.0
dirge,298,107.78509027373326,111.0
dirty,336,127.63133372160746,102.0
disco,346,132.1520093185789,73.0
ditch,477,181.94933022714036,100.0
ditto,708,299.2620850320326,220.0
ditty,857,369.86837507280137,226.0
diver,338,137.71869539895167,98.0
dizzy,857,484.3867210250437,241.0
dodge,528,246.25917297612114,185.0
dodgy,851,425.68957483983695,236.0
dogma,420,193.990099009901,128.0
doing,493,184.37216074548633,91.0
dolly,842,359.6488060570763,228.0
donor,660,268.1747233546884,118.0
donut,399,138.45369831100757,72.0
dopey,306,137.9132207338381,109.0
doubt,489,186.824111822947,105.0
dough,546,221.67443214909727,99.0
dowdy,904,473.7419918462434,241.0
dowel,320,127.97961560861968,100.0
downy,564,236.5946418171229,136.0
dowry,496,206.67501456027955,123.0
dozen,372,164.10425160163075,117.0
draft,333,118.23937099592312,74.0
drain,239,87.93302271403611,77.0
drake,265,93.06406523005242,60.0
drama,802,313.0582411182295,195.0
drank,340,128.5072801397787,87.0
drape,247,81.85497961560861,53.0
drawl,329,124.55736750145603,72.0
drawn,345,132.72044263249853,96.0
dread,374,159.79906814210833,132.0
